Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 9 weeks,> 9 - 13 weeks,> 9 - 12 weeks,> 12-15 weeks,> 15-18 weeks,>18-26 weeks,>26-39 weeks,>39-52 weeks,>52-65 weeks,>65-78 weeks,>78-91 weeks,>91-104 weeks,>104 weeks,>18 weeks,>18-52 weeks,> 13 - 26 weeks,>52 weeks,> 26 weeks,Total Waiting 
30-Sep-2013,Belfast,Geriatric Medicine,Elderly Care,193,76,--,56,72,59,--,--,--,--,--,--,--,--,117,--,--,--,--,573
30-Sep-2013,Belfast,Dental Medicine Specialties,Acute Services,255,68,--,27,35,0,--,--,--,--,--,--,--,--,0,--,--,--,--,385
30-Sep-2013,Belfast,Gynaecology,Acute Services,"1,550",532,--,267,299,201,--,--,--,--,--,--,--,--,224,--,--,--,--,"3,073"
30-Sep-2013,Belfast,Learning Disability,Learning Disability,29,7,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,36
30-Sep-2013,Belfast,Old Age Psychiatry,Elderly Care,177,31,--,6,1,1,--,--,--,--,--,--,--,--,2,--,--,--,--,218
30-Sep-2013,Belfast,Clinical Oncology,Acute Services,137,2,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,139
30-Sep-2013,Belfast,Chemical Pathology,Acute Services,0,0,--,0,0,0,--,--,--,--,--,--,--,--,1,--,--,--,--,1
30-Sep-2013,Northern,General Surgery,Acute Services,"1,598",495,--,342,329,17,--,--,--,--,--,--,--,--,10,--,--,--,--,"2,791"
30-Sep-2013,Northern,Urology,Acute Services,328,83,--,49,34,40,--,--,--,--,--,--,--,--,64,--,--,--,--,598
30-Sep-2013,Northern,ENT,Acute Services,"1,137",413,--,286,329,307,--,--,--,--,--,--,--,--,149,--,--,--,--,"2,621"
30-Sep-2013,Northern,Oral Surgery,Acute Services,130,31,--,6,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,167
30-Sep-2013,Northern,Orthodontics,Acute Services,63,10,--,10,7,11,--,--,--,--,--,--,--,--,1,--,--,--,--,102
30-Sep-2013,Northern,Pain Management,Acute Services,310,71,--,53,20,6,--,--,--,--,--,--,--,--,0,--,--,--,--,460
30-Sep-2013,Northern,General Medicine,Acute Services,240,77,--,36,37,38,--,--,--,--,--,--,--,--,15,--,--,--,--,443
30-Sep-2013,Northern,Gastroenterology,Acute Services,642,258,--,206,230,221,--,--,--,--,--,--,--,--,518,--,--,--,--,"2,075"
30-Sep-2013,Northern,Haematology (Clinical),Acute Services,73,7,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,80
30-Sep-2013,Northern,Cardiology,Acute Services,683,209,--,89,103,0,--,--,--,--,--,--,--,--,0,--,--,--,--,"1,084"
30-Sep-2013,Northern,Dermatology,Acute Services,793,244,--,171,53,21,--,--,--,--,--,--,--,--,11,--,--,--,--,"1,293"
30-Sep-2013,Northern,Thoracic Medicine,Acute Services,277,79,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,356
30-Sep-2013,Northern,Nephrology,Acute Services,63,12,--,9,16,2,--,--,--,--,--,--,--,--,0,--,--,--,--,102
30-Sep-2013,Northern,Neurology,Acute Services,212,134,--,78,62,15,--,--,--,--,--,--,--,--,18,--,--,--,--,519
30-Sep-2013,Northern,Rheumatology,Acute Services,340,133,--,81,39,0,--,--,--,--,--,--,--,--,0,--,--,--,--,593
30-Sep-2013,Northern,Paediatrics,Acute Services,472,156,--,45,10,7,--,--,--,--,--,--,--,--,0,--,--,--,--,690
30-Sep-2013,Northern,Geriatric Medicine,Elderly Care,93,12,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,105
30-Sep-2013,Northern,Gynaecology,Acute Services,"1,177",436,--,392,247,76,--,--,--,--,--,--,--,--,25,--,--,--,--,"2,353"
30-Sep-2013,Northern,Chemical Pathology,Acute Services,48,12,--,9,2,0,--,--,--,--,--,--,--,--,0,--,--,--,--,71
30-Sep-2013,Northern,Joint Consultant Clinics,Acute Services,21,1,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,22
30-Sep-2013,South Eastern,General Surgery,Acute Services,"1,310",406,--,55,4,1,--,--,--,--,--,--,--,--,1,--,--,--,--,"1,777"
30-Sep-2013,South Eastern,Urology,Acute Services,425,123,--,7,4,0,--,--,--,--,--,--,--,--,0,--,--,--,--,559
30-Sep-2013,South Eastern,T & O Surgery,Acute Services,268,2,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,270
30-Sep-2013,South Eastern,ENT,Acute Services,"1,463",594,--,384,211,18,--,--,--,--,--,--,--,--,2,--,--,--,--,"2,672"
30-Sep-2013,South Eastern,Ophthalmology,Acute Services,731,292,--,193,208,49,--,--,--,--,--,--,--,--,0,--,--,--,--,"1,473"
30-Sep-2013,South Eastern,Oral Surgery,Acute Services,391,151,--,66,18,1,--,--,--,--,--,--,--,--,0,--,--,--,--,627
30-Sep-2013,South Eastern,Plastic Surgery,Acute Services,732,141,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,873
30-Sep-2013,South Eastern,Paediatric Surgery,Acute Services,117,6,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,123
30-Sep-2013,South Eastern,Pain Management,Acute Services,229,68,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,297
30-Sep-2013,South Eastern,General Medicine,Acute Services,769,144,--,22,5,2,--,--,--,--,--,--,--,--,0,--,--,--,--,942
30-Sep-2013,South Eastern,Gastroenterology,Acute Services,40,11,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,51
30-Sep-2013,South Eastern,Endocrinology,Acute Services,32,8,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,40
30-Sep-2013,South Eastern,Haematology (Clinical),Acute Services,70,21,--,10,1,0,--,--,--,--,--,--,--,--,0,--,--,--,--,102
30-Sep-2013,South Eastern,Palliative Medicine,Acute Services,2,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,2
30-Sep-2013,South Eastern,Cardiology,Acute Services,481,170,--,136,118,24,--,--,--,--,--,--,--,--,0,--,--,--,--,929
30-Sep-2013,South Eastern,Dermatology,Acute Services,"1,024",244,--,165,24,1,--,--,--,--,--,--,--,--,0,--,--,--,--,"1,458"
30-Sep-2013,South Eastern,Thoracic Medicine,Acute Services,227,54,--,8,10,0,--,--,--,--,--,--,--,--,1,--,--,--,--,300
30-Sep-2013,South Eastern,Nephrology,Acute Services,31,6,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,37
30-Sep-2013,South Eastern,Neurology,Acute Services,249,100,--,69,97,9,--,--,--,--,--,--,--,--,3,--,--,--,--,527
30-Sep-2013,South Eastern,Rheumatology,Acute Services,363,169,--,50,34,19,--,--,--,--,--,--,--,--,38,--,--,--,--,673
30-Sep-2013,South Eastern,Paediatrics,Acute Services,328,105,--,102,71,49,--,--,--,--,--,--,--,--,18,--,--,--,--,673
30-Sep-2013,South Eastern,Geriatric Medicine,Elderly Care,144,25,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,169
30-Sep-2013,South Eastern,Gynaecology,Acute Services,"1,183",445,--,291,261,0,--,--,--,--,--,--,--,--,0,--,--,--,--,"2,180"
30-Sep-2013,South Eastern,Old Age Psychiatry,Elderly Care,138,35,--,13,6,4,--,--,--,--,--,--,--,--,2,--,--,--,--,198
30-Sep-2013,Southern,General Surgery,Acute Services,"1,833",539,--,3,2,6,--,--,--,--,--,--,--,--,7,--,--,--,--,"2,390"
30-Sep-2013,Southern,Urology,Acute Services,443,133,--,32,27,0,--,--,--,--,--,--,--,--,1,--,--,--,--,636
30-Sep-2013,Southern,T & O Surgery,Acute Services,631,119,--,88,18,0,--,--,--,--,--,--,--,--,0,--,--,--,--,856
30-Sep-2013,Southern,ENT,Acute Services,"1,418",506,--,154,1,0,--,--,--,--,--,--,--,--,0,--,--,--,--,"2,079"
30-Sep-2013,Southern,Ophthalmology,Acute Services,723,264,--,220,250,260,--,--,--,--,--,--,--,--,102,--,--,--,--,"1,819"
30-Sep-2013,Southern,Oral Surgery,Acute Services,225,80,--,40,23,18,--,--,--,--,--,--,--,--,38,--,--,--,--,424
30-Sep-2013,Southern,Paediatric Dentistry,Acute Services,1,1,--,0,1,2,--,--,--,--,--,--,--,--,5,--,--,--,--,10
30-Sep-2013,Southern,Orthodontics,Acute Services,14,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,14
30-Sep-2013,Southern,Plastic Surgery,Acute Services,1,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,1
30-Sep-2013,Southern,Thoracic Surgery,Acute Services,1,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,1
30-Sep-2013,Southern,Accident & Emergency,Acute Services,14,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,14
30-Sep-2013,Southern,Anaesthetics,Acute Services,4,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,4
30-Sep-2013,Southern,Pain Management,Acute Services,207,38,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,245
30-Sep-2013,Southern,General Medicine,Acute Services,186,42,--,1,1,0,--,--,--,--,--,--,--,--,0,--,--,--,--,230
30-Sep-2013,Southern,Gastroenterology,Acute Services,230,91,--,1,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,322
30-Sep-2013,Southern,Endocrinology,Acute Services,133,35,--,1,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,169
30-Sep-2013,Southern,Haematology (Clinical),Acute Services,77,10,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,87
30-Sep-2013,Southern,Palliative Medicine,Acute Services,13,1,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,14
30-Sep-2013,Southern,Cardiology,Acute Services,540,96,--,0,1,0,--,--,--,--,--,--,--,--,3,--,--,--,--,640
30-Sep-2013,Southern,Dermatology,Acute Services,936,320,--,262,268,152,--,--,--,--,--,--,--,--,9,--,--,--,--,"1,947"
30-Sep-2013,Southern,Thoracic Medicine,Acute Services,208,81,--,45,34,0,--,--,--,--,--,--,--,--,1,--,--,--,--,369
30-Sep-2013,Southern,Genito-Urinary Medicine,Acute Services,39,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,39
30-Sep-2013,Southern,Nephrology,Acute Services,14,4,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,18
30-Sep-2013,Southern,Neurology,Acute Services,330,150,--,36,5,0,--,--,--,--,--,--,--,--,0,--,--,--,--,521
30-Sep-2013,Southern,Rheumatology,Acute Services,250,79,--,73,31,0,--,--,--,--,--,--,--,--,4,--,--,--,--,437
30-Sep-2013,Southern,Paediatrics,Acute Services,617,139,--,35,35,28,--,--,--,--,--,--,--,--,30,--,--,--,--,884
30-Sep-2013,Southern,Geriatric Medicine,Elderly Care,63,22,--,7,1,2,--,--,--,--,--,--,--,--,3,--,--,--,--,98
30-Sep-2013,Southern,Gynaecology,Acute Services,"1,108",383,--,108,8,0,--,--,--,--,--,--,--,--,0,--,--,--,--,"1,607"
30-Sep-2013,Southern,Learning Disability,Learning Disability,15,3,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,18
30-Sep-2013,Southern,Old Age Psychiatry,Elderly Care,132,45,--,21,9,1,--,--,--,--,--,--,--,--,2,--,--,--,--,210
30-Sep-2013,Southern,Chemical Pathology,Acute Services,16,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,16
30-Sep-2013,Western,General Surgery,Acute Services,"1,363",444,--,228,78,10,--,--,--,--,--,--,--,--,0,--,--,--,--,"2,123"
30-Sep-2013,Western,Urology,Acute Services,241,52,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,293
30-Sep-2013,Western,T & O Surgery,Acute Services,"1,140",229,--,171,122,66,--,--,--,--,--,--,--,--,49,--,--,--,--,"1,777"
30-Sep-2013,Western,ENT,Acute Services,"1,056",202,--,21,19,1,--,--,--,--,--,--,--,--,0,--,--,--,--,"1,299"
30-Sep-2013,Western,Ophthalmology,Acute Services,874,197,--,47,10,0,--,--,--,--,--,--,--,--,0,--,--,--,--,"1,128"
30-Sep-2013,Western,Oral Surgery,Acute Services,463,198,--,114,123,123,--,--,--,--,--,--,--,--,247,--,--,--,--,"1,268"
30-Sep-2013,Western,Orthodontics,Acute Services,35,11,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,46
30-Sep-2013,Western,Thoracic Surgery,Acute Services,1,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,1
30-Sep-2013,Western,Pain Management,Acute Services,145,48,--,58,24,0,--,--,--,--,--,--,--,--,0,--,--,--,--,275
30-Sep-2013,Western,General Medicine,Acute Services,775,203,--,130,117,84,--,--,--,--,--,--,--,--,184,--,--,--,--,"1,493"
30-Sep-2013,Western,Haematology (Clinical),Acute Services,17,5,--,0,0,1,--,--,--,--,--,--,--,--,0,--,--,--,--,23
30-Sep-2013,Western,Palliative Medicine,Acute Services,2,1,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,3
30-Sep-2013,Western,Cardiology,Acute Services,236,45,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,281
30-Sep-2013,Western,Dermatology,Acute Services,712,114,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,826
30-Sep-2013,Western,Genito-Urinary Medicine,Acute Services,26,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,26
30-Sep-2013,Western,Nephrology,Acute Services,50,13,--,1,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,64
30-Sep-2013,Western,Neurology,Acute Services,318,122,--,103,94,44,--,--,--,--,--,--,--,--,39,--,--,--,--,720
30-Sep-2013,Western,Rheumatology,Acute Services,236,80,--,48,49,14,--,--,--,--,--,--,--,--,0,--,--,--,--,427
30-Sep-2013,Western,Paediatrics,Acute Services,343,106,--,82,75,17,--,--,--,--,--,--,--,--,28,--,--,--,--,651
30-Sep-2013,Western,Geriatric Medicine,Elderly Care,56,11,--,3,4,5,--,--,--,--,--,--,--,--,1,--,--,--,--,80
30-Sep-2013,Western,Gynaecology,Acute Services,861,256,--,142,66,30,--,--,--,--,--,--,--,--,6,--,--,--,--,"1,361"
30-Sep-2013,Western,Learning Disability,Learning Disability,5,1,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,6
30-Sep-2013,Western,Chemical Pathology,Acute Services,15,3,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,18
31-Dec-2013,Belfast,General Surgery,Acute Services,"1,926",721,--,521,447,257,--,--,--,--,--,--,--,--,948,--,--,--,--,"4,820"
31-Dec-2013,Belfast,Urology,Acute Services,593,238,--,234,173,147,--,--,--,--,--,--,--,--,612,--,--,--,--,"1,997"
31-Dec-2013,Belfast,T & O Surgery,Acute Services,"4,261","1,885",--,"1,643","1,310",215,--,--,--,--,--,--,--,--,67,--,--,--,--,"9,381"
31-Dec-2013,Belfast,ENT,Acute Services,"1,293",509,--,505,486,418,--,--,--,--,--,--,--,--,738,--,--,--,--,"3,949"
31-Dec-2013,Belfast,Ophthalmology,Acute Services,"2,101",841,--,664,619,492,--,--,--,--,--,--,--,--,"2,042",--,--,--,--,"6,759"
31-Dec-2013,Belfast,Oral Surgery,Acute Services,207,17,--,13,11,0,--,--,--,--,--,--,--,--,1,--,--,--,--,249
31-Dec-2013,Belfast,Restorative Dentistry,Acute Services,586,325,--,265,130,5,--,--,--,--,--,--,--,--,7,--,--,--,--,"1,318"
31-Dec-2013,Belfast,Paediatric Dentistry,Acute Services,91,43,--,25,32,26,--,--,--,--,--,--,--,--,29,--,--,--,--,246
31-Dec-2013,Belfast,Orthodontics,Acute Services,91,22,--,22,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,135
31-Dec-2013,Belfast,Neurosurgery,Acute Services,220,115,--,61,44,38,--,--,--,--,--,--,--,--,37,--,--,--,--,515
31-Dec-2013,Belfast,Plastic Surgery,Acute Services,72,32,--,43,32,7,--,--,--,--,--,--,--,--,9,--,--,--,--,195
31-Dec-2013,Belfast,Cardiac Surgery,Acute Services,69,14,--,6,0,1,--,--,--,--,--,--,--,--,2,--,--,--,--,92
31-Dec-2013,Belfast,Paediatric Surgery,Acute Services,279,127,--,102,88,37,--,--,--,--,--,--,--,--,4,--,--,--,--,637
31-Dec-2013,Belfast,Thoracic Surgery,Acute Services,59,17,--,10,6,6,--,--,--,--,--,--,--,--,0,--,--,--,--,98
31-Dec-2013,Belfast,Pain Management,Acute Services,250,80,--,42,34,11,--,--,--,--,--,--,--,--,5,--,--,--,--,422
31-Dec-2013,Belfast,General Medicine,Acute Services,390,118,--,89,110,77,--,--,--,--,--,--,--,--,53,--,--,--,--,837
31-Dec-2013,Belfast,Gastroenterology,Acute Services,685,264,--,206,224,170,--,--,--,--,--,--,--,--,744,--,--,--,--,"2,293"
31-Dec-2013,Belfast,Endocrinology,Acute Services,285,120,--,74,18,3,--,--,--,--,--,--,--,--,3,--,--,--,--,503
31-Dec-2013,Belfast,Haematology (Clinical),Acute Services,134,3,--,0,2,2,--,--,--,--,--,--,--,--,1,--,--,--,--,142
31-Dec-2013,Belfast,Clinical Genetics,Acute Services,205,139,--,95,101,45,--,--,--,--,--,--,--,--,140,--,--,--,--,725
31-Dec-2013,Belfast,Rehabilitation,Acute Services,19,9,--,1,1,0,--,--,--,--,--,--,--,--,0,--,--,--,--,30
31-Dec-2013,Belfast,Palliative Medicine,Acute Services,3,1,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,4
31-Dec-2013,Belfast,Cardiology,Acute Services,963,370,--,282,110,81,--,--,--,--,--,--,--,--,381,--,--,--,--,"2,187"
31-Dec-2013,Belfast,Dermatology,Acute Services,786,105,--,32,14,0,--,--,--,--,--,--,--,--,0,--,--,--,--,937
31-Dec-2013,Belfast,Thoracic Medicine,Acute Services,412,151,--,150,117,122,--,--,--,--,--,--,--,--,493,--,--,--,--,"1,445"
31-Dec-2013,Belfast,Nephrology,Acute Services,155,45,--,9,4,1,--,--,--,--,--,--,--,--,0,--,--,--,--,214
31-Dec-2013,Belfast,Medical Oncology,Acute Services,51,3,--,0,1,0,--,--,--,--,--,--,--,--,0,--,--,--,--,55
31-Dec-2013,Belfast,Neurology,Acute Services,627,273,--,207,227,145,--,--,--,--,--,--,--,--,666,--,--,--,--,"2,145"
31-Dec-2013,Belfast,Rheumatology,Acute Services,358,194,--,191,159,149,--,--,--,--,--,--,--,--,530,--,--,--,--,"1,581"
31-Dec-2013,Belfast,Paediatrics,Acute Services,960,315,--,155,67,21,--,--,--,--,--,--,--,--,68,--,--,--,--,"1,586"
31-Dec-2013,Belfast,Paediatric Neurology,Acute Services,47,19,--,23,9,16,--,--,--,--,--,--,--,--,23,--,--,--,--,137
31-Dec-2013,Belfast,Geriatric Medicine,Elderly Care,240,96,--,72,48,72,--,--,--,--,--,--,--,--,134,--,--,--,--,662
31-Dec-2013,Belfast,Dental Medicine Specialties,Acute Services,215,104,--,101,30,0,--,--,--,--,--,--,--,--,1,--,--,--,--,451
31-Dec-2013,Belfast,Gynaecology,Acute Services,"1,396",528,--,331,262,138,--,--,--,--,--,--,--,--,92,--,--,--,--,"2,747"
31-Dec-2013,Belfast,Learning Disability,Learning Disability,29,7,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,36
31-Dec-2013,Belfast,Old Age Psychiatry,Elderly Care,166,69,--,17,8,1,--,--,--,--,--,--,--,--,2,--,--,--,--,263
31-Dec-2013,Belfast,Clinical Oncology,Acute Services,202,8,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,210
31-Dec-2013,Belfast,Chemical Pathology,Acute Services,0,0,--,0,0,0,--,--,--,--,--,--,--,--,1,--,--,--,--,1
31-Dec-2013,Northern,General Surgery,Acute Services,"1,508",557,--,496,346,90,--,--,--,--,--,--,--,--,26,--,--,--,--,"3,023"
31-Dec-2013,Northern,Urology,Acute Services,294,81,--,64,55,38,--,--,--,--,--,--,--,--,132,--,--,--,--,664
31-Dec-2013,Northern,ENT,Acute Services,"1,086",409,--,410,387,334,--,--,--,--,--,--,--,--,239,--,--,--,--,"2,865"
31-Dec-2013,Northern,Oral Surgery,Acute Services,137,67,--,73,10,0,--,--,--,--,--,--,--,--,1,--,--,--,--,288
31-Dec-2013,Northern,Orthodontics,Acute Services,54,23,--,22,6,0,--,--,--,--,--,--,--,--,0,--,--,--,--,105
31-Dec-2013,Northern,Pain Management,Acute Services,233,94,--,99,80,1,--,--,--,--,--,--,--,--,2,--,--,--,--,509
31-Dec-2013,Northern,General Medicine,Acute Services,271,71,--,56,43,32,--,--,--,--,--,--,--,--,40,--,--,--,--,513
31-Dec-2013,Northern,Gastroenterology,Acute Services,535,251,--,221,192,252,--,--,--,--,--,--,--,--,922,--,--,--,--,"2,373"
31-Dec-2013,Northern,Haematology (Clinical),Acute Services,55,15,--,0,1,0,--,--,--,--,--,--,--,--,0,--,--,--,--,71
31-Dec-2013,Northern,Cardiology,Acute Services,605,222,--,67,16,0,--,--,--,--,--,--,--,--,0,--,--,--,--,910
31-Dec-2013,Northern,Dermatology,Acute Services,665,208,--,125,64,24,--,--,--,--,--,--,--,--,16,--,--,--,--,"1,102"
31-Dec-2013,Northern,Thoracic Medicine,Acute Services,261,101,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,362
31-Dec-2013,Northern,Nephrology,Acute Services,67,8,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,75
31-Dec-2013,Northern,Neurology,Acute Services,223,115,--,90,59,13,--,--,--,--,--,--,--,--,17,--,--,--,--,517
31-Dec-2013,Northern,Rheumatology,Acute Services,337,140,--,105,70,0,--,--,--,--,--,--,--,--,0,--,--,--,--,652
31-Dec-2013,Northern,Paediatrics,Acute Services,502,188,--,103,35,1,--,--,--,--,--,--,--,--,0,--,--,--,--,829
31-Dec-2013,Northern,Geriatric Medicine,Elderly Care,89,22,--,1,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,112
31-Dec-2013,Northern,Gynaecology,Acute Services,"1,100",470,--,385,169,97,--,--,--,--,--,--,--,--,66,--,--,--,--,"2,287"
31-Dec-2013,Northern,Chemical Pathology,Acute Services,28,9,--,6,1,0,--,--,--,--,--,--,--,--,0,--,--,--,--,44
31-Dec-2013,Northern,Joint Consultant Clinics,Acute Services,7,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,7
31-Dec-2013,South Eastern,General Surgery,Acute Services,"1,183",297,--,5,0,0,--,--,--,--,--,--,--,--,1,--,--,--,--,"1,486"
31-Dec-2013,South Eastern,Urology,Acute Services,402,131,--,40,48,8,--,--,--,--,--,--,--,--,0,--,--,--,--,629
31-Dec-2013,South Eastern,T & O Surgery,Acute Services,154,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,154
31-Dec-2013,South Eastern,ENT,Acute Services,"1,278",625,--,495,173,11,--,--,--,--,--,--,--,--,2,--,--,--,--,"2,584"
31-Dec-2013,South Eastern,Ophthalmology,Acute Services,585,244,--,234,205,200,--,--,--,--,--,--,--,--,136,--,--,--,--,"1,604"
31-Dec-2013,South Eastern,Oral Surgery,Acute Services,384,159,--,148,22,2,--,--,--,--,--,--,--,--,7,--,--,--,--,722
31-Dec-2013,South Eastern,Plastic Surgery,Acute Services,608,240,--,1,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,849
31-Dec-2013,South Eastern,Paediatric Surgery,Acute Services,107,12,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,119
31-Dec-2013,South Eastern,Pain Management,Acute Services,231,95,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,326
31-Dec-2013,South Eastern,General Medicine,Acute Services,724,151,--,9,0,0,--,--,--,--,--,--,--,--,4,--,--,--,--,888
31-Dec-2013,South Eastern,Gastroenterology,Acute Services,41,12,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,53
31-Dec-2013,South Eastern,Endocrinology,Acute Services,17,10,--,6,3,1,--,--,--,--,--,--,--,--,0,--,--,--,--,37
31-Dec-2013,South Eastern,Haematology (Clinical),Acute Services,126,20,--,7,1,0,--,--,--,--,--,--,--,--,0,--,--,--,--,154
31-Dec-2013,South Eastern,Cardiology,Acute Services,475,171,--,169,17,0,--,--,--,--,--,--,--,--,0,--,--,--,--,832
31-Dec-2013,South Eastern,Dermatology,Acute Services,893,291,--,169,28,1,--,--,--,--,--,--,--,--,0,--,--,--,--,"1,382"
31-Dec-2013,South Eastern,Thoracic Medicine,Acute Services,244,86,--,42,14,0,--,--,--,--,--,--,--,--,0,--,--,--,--,386
31-Dec-2013,South Eastern,Nephrology,Acute Services,50,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,50
31-Dec-2013,South Eastern,Neurology,Acute Services,245,113,--,100,10,1,--,--,--,--,--,--,--,--,0,--,--,--,--,469
31-Dec-2013,South Eastern,Rheumatology,Acute Services,383,173,--,101,28,13,--,--,--,--,--,--,--,--,20,--,--,--,--,718
31-Dec-2013,South Eastern,Paediatrics,Acute Services,285,137,--,110,76,18,--,--,--,--,--,--,--,--,11,--,--,--,--,637
31-Dec-2013,South Eastern,Geriatric Medicine,Elderly Care,151,25,--,8,3,0,--,--,--,--,--,--,--,--,0,--,--,--,--,187
31-Dec-2013,South Eastern,Gynaecology,Acute Services,"1,118",453,--,435,342,50,--,--,--,--,--,--,--,--,10,--,--,--,--,"2,408"
31-Dec-2013,South Eastern,Old Age Psychiatry,Elderly Care,155,51,--,27,11,0,--,--,--,--,--,--,--,--,2,--,--,--,--,246
31-Dec-2013,Southern,General Surgery,Acute Services,"1,726",622,--,27,3,0,--,--,--,--,--,--,--,--,1,--,--,--,--,"2,379"
31-Dec-2013,Southern,Urology,Acute Services,413,164,--,150,86,0,--,--,--,--,--,--,--,--,1,--,--,--,--,814
31-Dec-2013,Southern,T & O Surgery,Acute Services,465,153,--,54,8,0,--,--,--,--,--,--,--,--,0,--,--,--,--,680
31-Dec-2013,Southern,ENT,Acute Services,"1,309",588,--,394,2,0,--,--,--,--,--,--,--,--,1,--,--,--,--,"2,294"
31-Dec-2013,Southern,Ophthalmology,Acute Services,678,354,--,377,280,202,--,--,--,--,--,--,--,--,154,--,--,--,--,"2,045"
31-Dec-2013,Southern,Oral Surgery,Acute Services,177,136,--,134,47,10,--,--,--,--,--,--,--,--,15,--,--,--,--,519
31-Dec-2013,Southern,Paediatric Dentistry,Acute Services,0,0,--,0,1,0,--,--,--,--,--,--,--,--,7,--,--,--,--,8
31-Dec-2013,Southern,Orthodontics,Acute Services,25,1,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,26
31-Dec-2013,Southern,Plastic Surgery,Acute Services,0,0,--,0,0,1,--,--,--,--,--,--,--,--,0,--,--,--,--,1
31-Dec-2013,Southern,Thoracic Surgery,Acute Services,1,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,1
31-Dec-2013,Southern,Accident & Emergency,Acute Services,10,0,--,0,0,1,--,--,--,--,--,--,--,--,0,--,--,--,--,11
31-Dec-2013,Southern,Anaesthetics,Acute Services,1,0,--,0,0,0,--,--,--,--,--,--,--,--,0,--,--,--,--,1
31-Dec-2013,Southern,Pain Management,Acute Services,206,106,--,8,2,0,--,--,--,--,--,--,--,--,0,--,--,--,--,322
31-Dec-2013,Southern,General Medicine,Acute Services,163,66,--,9,8,0,--,--,--,--,--,--,--,--,0,--,--,--,--,246
